_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
1118,MS in Computer Science - Software Engineering,Lewis University Online,/,USA,"One University Parkway, 60446-2200, Romeoville",-88.0804639,41.6048148
1119,MS in Criminal Justice,Lewis University Online,/,USA,"One University Parkway, 60446-2200, Romeoville",-88.0804639,41.6048148
1120,MS in Data Science,Lewis University Online,/,USA,"One University Parkway, 60446-2200, Romeoville",-88.0804639,41.6048148
1121,MS in Data Science - Computational Biology and Bioinformatics,Lewis University Online,/,USA,"One University Parkway, 60446-2200, Romeoville",-88.0804639,41.6048148
1122,MS in Data Science - Computer Science,Lewis University Online,/,USA,"One University Parkway, 60446-2200, Romeoville",-88.0804639,41.6048148
1123,MS in Public Safety Administration,Lewis University Online,/,USA,"One University Parkway, 60446-2200, Romeoville",-88.0804639,41.6048148
1124,Master of Arts in Organizational Leadership,Williamson College,575,USA,"Williamson College 274 Mallory Station Road Franklin, TN, 37067, Franklin",-86.8688899,35.9250637
1125,Master of Arts in Theological Studies,Williamson College,575,USA,"Williamson College 274 Mallory Station Road Franklin, TN, 37067, Franklin",-86.8688899,35.9250637
1126,Master of Arts in Communication,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1127,Master of Arts in Cultural Heritage Management,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1128,Master of Arts in Government,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1129,Master of Arts in Museum Studies,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1130,Master of Arts in Non-Governmental Organization Management,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1131,Master of Arts in Public Management,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1132,Master of Arts in Science Writing,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1133,Master of Arts in Teaching Writing,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1134,Master of Arts in Writing,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1135,Master of Biotechnology Enterprise and Entrepreneurship,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1136,Master of Liberal Arts,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1137,Master of Science in Applied Economics,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1138,Master of Science in Bioinformatics,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1139,Master of Science in Biotechnology,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1140,Master of Science in Energy Policy and Climate,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1141,Master of Science in Environmental Sciences and Policy,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1142,Master of Science in Food Safety Regulation,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1143,Master of Science in Geographic Information Systems,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1144,Master of Science in Geospatial Intelligence,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1145,Master of Science in Regulatory Science,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1146,Master of Science in Research Administration,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1147,Master of Arts in Film and Media,"Johns Hopkins University, Advanced Academic Programs",/,USA,"1717 Massachusetts Avenue, 20036, Washington",-77.0394419,38.9086451
1148,Master in Entrepreneurship and Innovation - STEM program,University of San Francisco - School of Management,45900,USA,"University of San Francisco 101 Howard Street San Francisco, CA, 94105, San Francisco",-122.3925235,37.79088
1149,Master of Information Systems - STEM Program,University of San Francisco - School of Management,3216,USA,", , San Jose",-121.8863286,37.3382082
1150,Master of Nonprofit Administration,University of San Francisco - School of Management,41400,USA,"University of San Francisco 101 Howard Street San Francisco, CA, 94105, San Francisco",-122.3925235,37.79088
1151,Master of Science in Financial Analysis - STEM Program,University of San Francisco - School of Management,48475,USA,"University of San Francisco 101 Howard Street San Francisco, CA, 94105, San Francisco",-122.3925235,37.79088
1152,MA in Integral Transpersonal Psychology,Ubiquity University,6000,USA,", , USA Online",-80.4743607,25.467595
1153,MA in Wisdom Studies,Ubiquity University,200,USA,", , USA Online",-80.4743607,25.467595
1154,MA/PhD or MA/DMin Combined Program in Wisdom Studies,Ubiquity University,/,USA,", , USA Online",-80.4743607,25.467595
1155,Master of Architecture,Tulane University,56900,USA,"Saint Charles Avenue,6823, 70118, New Orleans",-90.122739,29.9354099
1156,Master of Preservation Studies,Tulane University,56900,USA,"Saint Charles Avenue,6823, 70118, New Orleans",-90.122739,29.9354099
1157,Master of Science in Architectural Research and Design (M.S.ARC),Tulane University,56900,USA,"Saint Charles Avenue,6823, 70118, New Orleans",-90.122739,29.9354099
1158,Master of Sustainable Real Estate Development,Tulane University,56900,USA,"Saint Charles Avenue,6823, 70118, New Orleans",-90.122739,29.9354099
1159,Master of Oceanography,University of Rhode Island Graduate School of Oceanography,15514,USA,"South Ferry Road,215, 02882, Narragansett",-71.4224687,41.4921843
1160,MS Analytics,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1161,MS Biotechnology,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1162,MS Computer Information Sciences,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1163,MS Human-Centered Interaction Design,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1164,MS Information Systems Engineering & Management,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1165,MS Learning Technologies & Media Systems,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1166,MS Next-Generation Disruptive Technologies,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1167,MS Project Management,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1168,MS Techpreneurship,Harrisburg University,5300,USA,"326 Market St, 17101, Harrisburg",-76.8803384,40.2619419
1169,Master of Business Administration,Clayton State University,43800,USA,"2000 Clayton State Boulevard, 30260, Morrow",-84.330761,33.5944329
1170,Master of Arts in Clinical Psychology with an Emphasis in Marriage and Family Therapy,Pepperdine University Graduate School of Education and Psychology,1585,USA,"Howard Hughes Center 6100 Center Drive, CA 90045, Los Angeles",-118.3921962,33.978344
1171,Master of Arts in Psychology,Pepperdine University Graduate School of Education and Psychology,1585,USA,"Howard Hughes Center 6100 Center Drive, CA 90045, Los Angeles",-118.3921962,33.978344
1172,Master of Science in Communications (M.S. in Communications),The S.I. Newhouse School of Public Communications; The Newhouse School; Newhouse,/,USA,"Syracuse University 215 University Place , 13244-2100, Syracuse",-76.134478,43.0385669
1173,Master of Christian Studies (Online),Union University,350,USA,"Union University Drive,1050, 38305, Jackson",-88.8602523,35.6769696
1174,Master of Public Administration - Online,South University,/,USA,", , Savannah",-81.091203,32.0808989
1175,Master of Science in Information Systems,South University,/,USA,"North Himes Avenue,4401, 33614, Tampa",-82.5006971,27.9823031
1176,Master of Science in Leadership,South University,/,USA,"Mall Boulevard,709, 31406, Savannah",-81.1054749,31.9996116
1177,Master of Science in Criminal Justice,South University,/,USA,"Mall Boulevard,709, 31406, Savannah",-81.1054749,31.9996116
1178,Master of Healthcare Administration,South University,/,USA,"Mall Boulevard,709, 31406, Savannah",-81.1054749,31.9996116
1179,Master of Fine Arts,New York Academy of Art,40209,USA,"111 Franklin Street, 10013, New York",-74.0061011,40.718421
1180,Master of Global Affairs,University of Notre Dame,57050,USA,"Keough School of Global Affairs 1010 Jenkins Nanovic Halls Notre Dame, Indiana USA, 46556, Notre Dame",-86.2379328,41.7001908
1181,M.S. in Family and Child Science,Florida State University - Department of Family and Child Sciences,8628,USA,"W College Ave,600, 32306, Tallahassee",-84.2906647,30.4407249
1182,Master of Advanced Studies in International Affairs (MAS-IA),UC San Diego School Of Global Policy & Strategy,/,USA,"9500 Gilman Dr. #0519 , 92093, San Diego",-117.2419407,32.88441916
1183,Master of Chinese Economic and Political Affairs (MCEPA),UC San Diego School Of Global Policy & Strategy,11442,USA,"9500 Gilman Dr. #0519 , 92093, San Diego",-117.2419407,32.88441916
1184,Master of International Affairs (MIA),UC San Diego School Of Global Policy & Strategy,11442,USA,"9500 Gilman Dr. #0519 , 92093, San Diego",-117.2419407,32.88441916
1185,Master of Public Policy (MPP),UC San Diego School Of Global Policy & Strategy,11442,USA,"9500 Gilman Dr. #0519 , 92093, San Diego",-117.2419407,32.88441916
1186,Master of Science in Geospatial Analysis (MSGA),University of Mary Washington,482,USA,"1301 College Avenue, 22401, Fredericksburg",-77.4714072,38.2996039
1187,Master of Science in Information Quality,University of Arkansas Little Rock,320,USA,"South University Avenue,2801, 72204, Little Rock",-92.3415717,34.7216432
1188,Master in Health Administration - LIU Brooklyn,Long Island University,/,USA,"1 University Plaza, Brooklyn, NY 11201, USA, , New York",-73.98047248,40.6907747
1189,Master of Arts in Behavior Analysis - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1190,Master of Arts in Clinical Art Therapy and Counseling - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1191,Master of Arts in Media Arts - LIU Brooklyn,Long Island University,/,USA,"1 University Plaza, Brooklyn, NY 11201, USA, , New York",-73.98047248,40.6907747
1192,Master of Arts in Psychology - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1193,Master of Fine Arts in Fine Arts and Design - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1194,Master of Science in Accounting - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1195,Master of Science in Applied Mathematics - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1196,Master of Science in Biology - LIU Brooklyn,Long Island University,/,USA,"1 University Plaza, Brooklyn, NY 11201, USA, , New York",-73.98047248,40.6907747
1197,Master of Science in Computer Science - LIU Brooklyn,Long Island University,/,USA,"1 University Plaza, Brooklyn, NY 11201, USA, , New York",-73.98047248,40.6907747
1198,Master of Science in Information Systems - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1199,Master of Science in Management Engineering - LIU Post,Long Island University,/,USA,"720 Northern Boulevard, , Brookville",-73.59011216,40.81712789
1200,Master of Science in Data Analytics and Strategic Business Intelligence,"Long Island University, Post Campus",1249,USA,"720 Northern Boulevard, NY 11548, Brookville",-73.596528,40.8175907
1201,Master of Science in Business Analytics (MSBA),Golden Gate University,39240,USA,"536 Mission Street San Francisco, CA 94105, 94105-2968, San Francisco",-122.4011306,37.7868242
1202,Master of Science in Finance (MS-Fin),Golden Gate University,32700,USA,"536 Mission Street San Francisco, CA 94105, 94105-2968, San Francisco",-122.4011306,37.7868242
1203,Master of Science in Information Technology Management (MS-ITM),Golden Gate University,32700,USA,"536 Mission Street San Francisco, CA 94105, 94105-2968, San Francisco",-122.4011306,37.7868242
1204,Master of Science in Taxation (MS-Tax),Golden Gate University,37500,USA,"536 Mission Street San Francisco, CA 94105, 94105-2968, San Francisco",-122.4011306,37.7868242
1205,M.S. in Project Management,The Citadel,595,USA,"Moultrie Street,171, 29409, Charleston",-79.9589578,32.7975896
1206,Master of Science in Leadership,Golden Gate University,32700,USA,", , USA Online",/,/
1207,Online M.A. in Intelligence and Security Studies,The Citadel,25020,USA,"Moultrie Street,171, 29409, Charleston",-79.9589578,32.7975896
1208,Online M.A. in International Politics and Military Affairs,The Citadel,695,USA,"Moultrie Street,171, 29409, Charleston",-79.9589578,32.7975896
1209,MSc in Accounting,Suffolk University,21360,USA,"Suffolk University Boston 73 Tremont Street, 02108, Boston",-71.0618449,42.3588616
1210,MSc in Finance,Suffolk University,21360,USA,"Suffolk University Boston 73 Tremont Street, 02108, Boston",-71.0618449,42.3588616
1211,MA in Graphic Design,Suffolk University,13728,USA,"Suffolk University Boston 73 Tremont Street, 02108, Boston",-71.0618449,42.3588616
1212,MA in Interior Architecture,Suffolk University,13728,USA,"Suffolk University Boston 73 Tremont Street, 02108, Boston",-71.0618449,42.3588616
1213,MSc in Political Science,Suffolk University,14604,USA,"Suffolk University Boston 73 Tremont Street, 02108, Boston",-71.0618449,42.3588616
1214,MSc in Marketing (MSM),Suffolk University,/,USA,"Suffolk University Boston 73 Tremont Street, 02108, Boston",-71.0618449,42.3588616
1215,Online M.S. / Cybersecurity and Data Privacy,Albany Law School,30000,USA,"80 New Scotland Avenue, 12208-3494, Albany",-73.7774618,42.6512676
1216,Online M.S./Financial Compliance and Risk Management,Albany Law School,40500,USA,"80 New Scotland Avenue, 12208-3494, Albany",-73.7774618,42.6512676
1217,Master of Architecture,Thomas Jefferson University,57330,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1218,MS in Architecture,Thomas Jefferson University,42120,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1219,MS in Construction Management,Thomas Jefferson University,42120,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1220,MS in Geospatial Technology for Geodesign,Thomas Jefferson University,42120,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1221,MS in Interior Architecture,Thomas Jefferson University,57330,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1222,MS in Real Estate Development,Thomas Jefferson University,43290,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1223,MS in Sustainable Design,Thomas Jefferson University,39780,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1224,MS in Industrial Design,Thomas Jefferson University,69720,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1225,MS in Surface Imaging,Thomas Jefferson University,38610,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1226,MS in Textile Design,Thomas Jefferson University,45630,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1227,MS in User Experience & Interaction Design,Thomas Jefferson University,36270,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1228,MS in Global Fashion Enterprise,Thomas Jefferson University,50310,USA,"1020 Walnut Street, 19107, Philadelphia",-75.1311874,40.0152766
1229,Dual MSW/MBA Option,Aurora University Online,600,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1230,Dual MSW/MPA Option,Aurora University Online,600,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1231,MA in Mathematics Education,Aurora University Online,20905,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1232,Master of Public Administration (MPA),Aurora University Online,20340,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1233,Master of Social Work (MSW),Aurora University Online,36000,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1234,Master of Social Work (MSW) - Administrative Leadership Specialization,Aurora University Online,36000,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1235,Master of Social Work (MSW) - Advanced Clinical Social Work Specialization,Aurora University Online,/,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1236,Master of Social Work (MSW) - Faith-Based Specialization,Aurora University Online,36000,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1237,Master of Social Work (MSW) - Forensic Specialization,Aurora University Online,36000,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1238,Master of Social Work (MSW) - Health Care Specialization,Aurora University Online,36000,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1239,Master of Social Work (MSW) - School Social Work Specialization,Aurora University Online,36000,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1240,Master of Arts in Integrated Marketing Communications,University of West Alabama Online,12870,USA,", 35470, Livingston",-88.1872475,32.5843025
1241,Master of Arts in Teaching,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1242,Master of Education: Early Childhood Development (Non-Certification),University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1243,Master of Education: Early Childhood Ed P-3,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1244,Master of Education: Elementary Education K-6,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1245,Master of Education: High School 6-12,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1246,Master of Education: Instructional Leadership,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1247,"Master of Education: Learning, Design and Technology",University of West Alabama Online,12870,USA,", 35470, Livingston",-88.1872475,32.5843025
1248,Master of Education: Library Media,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1249,Master of Education: Physical Education Preschool???Grade 12,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1250,Master of Education: School Counseling,University of West Alabama Online,20592,USA,", 35470, Livingston",-88.1872475,32.5843025
1251,Master of Education: Special Education Collaborative Teacher 6-12,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1252,Master of Education: Special Education Collaborative Teacher K-6,University of West Alabama Online,14586,USA,", 35470, Livingston",-88.1872475,32.5843025
1253,Master of Education: Student Affairs in Higher Education Option (Non-Certification),University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1254,Master of Science in Adult Continuing Education: Counseling and Psychology Option,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1255,Master of Science in Adult Continuing Education: General Option,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1256,Master of Science in Adult Continuing Education: Library Media Option,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1257,Master of Science in Family Counseling,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1258,Master of Science in Guidance and Counseling,University of West Alabama Online,20592,USA,", 35470, Livingston",-88.1872475,32.5843025
1259,Master of Science in Physical Education,University of West Alabama Online,14157,USA,", 35470, Livingston",-88.1872475,32.5843025
1260,Master of Science: Conservation Biology,University of West Alabama Online,15444,USA,", 35470, Livingston",-88.1872475,32.5843025
1261,Master of Science: Experimental Psychology,University of West Alabama Online,15444,USA,", 35470, Livingston",-88.1872475,32.5843025
1262,Master of Science: Experimental Psychology: Counseling and Psychology Option,University of West Alabama Online,16731,USA,", 35470, Livingston",-88.1872475,32.5843025
1263,Master of Science: Experimental Psychology: Health and Sports Psychology Option,University of West Alabama Online,15444,USA,", 35470, Livingston",-88.1872475,32.5843025
1264,"Hybrid Dual Master of Social Work/Master of Education, Human Sexuality Studies",Widener University Online,/,USA,"University Place,One, 19013, Chester",-75.3552736,39.8616414
1265,Master of Social Work,Widener University Online,/,USA,"University Place,One, 19013, Chester",-75.3552736,39.8616414
1266,Master of Social Work - Advanced Standing,Widener University Online,/,USA,"University Place,One, 19013, Chester",-75.3552736,39.8616414
1267,Master of Science in Cybersecurity - Cyber Policy,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1268,Master of Science in Business Analytics,The University of Scranton Online,/,USA,", 18510, Scranton",-75.641175,41.4089391
1269,Dual Master of Business Administration and Master's in Healthcare Administration,The University of Scranton Online,/,USA,", 18510, Scranton",-75.641175,41.4089391
1270,Master of Accountancy,The University of Scranton Online,/,USA,", 18510, Scranton",-75.641175,41.4089391
1271,Master of Science in Finance,The University of Scranton Online,/,USA,", 18510, Scranton",-75.641175,41.4089391
1272,Master of Science in Human Resources,The University of Scranton Online,/,USA,", 18510, Scranton",-75.641175,41.4089391
1273,Master of Science in Accounting,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1274,Master of Science in Cybersecurity,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1275,Master of Science in Cybersecurity - Computer Forensics,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1276,Master of Science in Cybersecurity - Cyber Intelligence,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1277,Master of Science in Cybersecurity - Cyber Operations,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1278,Master of Science in Cybersecurity - Electronic Crime,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1279,Master of Science in Cybersecurity: Malware Analysis,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1280,Master of Science in Data Science,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1281,Master of Science in Data Science: Business Analytics,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1282,Master of Science in Data Science: Cybersecurity,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1283,Master of Science in Data Science: Financial Crime,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1284,Master of Science in Data Science: Social Science Analytics,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1285,Master of Science in Financial Crime and Compliance Management,Utica College Online,/,USA,"1600 Burrstone Road, 13502-4892, Utica",-75.232664,43.100903
1286,Master of Education in Curriculum and Instruction - Elementary Education Comprehensive,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1287,Master of Education in Curriculum and Instruction - Middle-Level Education Comprehensive,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1288,Master of Education in Curriculum and Instruction - Secondary Education Comprehensive,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1289,Master of Education in Educational Leadership,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1290,Master of Science in Computer Science,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1291,Master of Science in Cybersecurity,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1292,Master of Science in Geographic Information Science Administration,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1293,Master of Science in Information Technology,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1294,Master of Social Work - Advanced Standing,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1295,Master of Social Work - Traditional,University of West Florida Online,/,USA,"University Parkway,11000, 32514, Pensacola",-87.2185862,30.5491387
1296,MA in Strategic Communication and Public Relations,Sacred Heart University Online,/,USA,"5151 Park Avenue, 06825, Fairfield",-73.2409931,41.2222395
1297,Master of Social Work - Clinical Specialization,Sacred Heart University Online,/,USA,"5151 Park Avenue, 06825, Fairfield",-73.2409931,41.2222395
1298,Master of Social Work - Community Specialization,Sacred Heart University Online,/,USA,"5151 Park Avenue, 06825, Fairfield",-73.2409931,41.2222395
1299,Master of Arts in Communication: Integrated Digital Strategy,Queens University of Charlotte Online,/,USA,"1900 Selwyn Ave., 28274, Charlotte",-80.8308155,35.1882235
1300,Master of Arts in Educational Leadership,Queens University of Charlotte Online,/,USA,"1900 Selwyn Ave., 28274, Charlotte",-80.8308155,35.1882235
1301,Master of Health Administration,Queens University of Charlotte Online,/,USA,"1900 Selwyn Ave., 28274, Charlotte",-80.8308155,35.1882235
1302,Master of Science in Communication,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1303,Master of Science in Communication: Communication & Advertising Specializations,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1304,Master of Science in Communication: Public Relations,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1305,Master of Science in Education in Curriculum and Instruction,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1306,Master of Science in Education in Curriculum and Instruction - Educational Technology Concentration,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1307,Master of Science in Education in Curriculum and Instruction - English Language Learning Concentration,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1308,"Master of Science in Education in Curriculum and Instruction - Gifted, Creative, and Talented Studies Concentration",Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1309,Master of Science in Education in Curriculum and Instruction - Mathematics Education Concentration,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1310,Master of Science in Education in Learning Design and Technology,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1311,Master of Science in Education in Special Education,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1312,Master of Science in Engineering Technology,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1313,Master of Science in Hospitality and Tourism Management,Purdue University Online,/,USA,"Purdue University, 47907, West Lafayette",-86.9211946,40.4237054
1314,MA in Clinical Mental Health Counseling,Antioch University Online,/,USA,"900 Dayton St, 45387, Yellow Springs",-83.9086347,39.8035112
1315,MS in Exercise Science,Aurora University Online,16950,USA,"South Gladstone Avenue,347, 60506, Aurora",-88.3476948,41.7549208
1316,Master of Arts in Clinical Mental Health Counseling,Medaille College,875,USA,"South Winton Road,1880, 14618, Rochester",-77.5733153,43.1087513
1317,Master of Science in Education - Adolescent/Secondary Education,Medaille College,775,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1318,Master of Science in Education - Elementary Education,Medaille College,775,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1319,Master of Science in Education - Literacy Education,Medaille College,775,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
1320,Master of Science in Education - Students with Disabilities Education,Medaille College,775,USA,"Agassiz Circle,18, 14214, Buffalo",-78.8559545,42.928608
